,PR COMMENT,Usage,Positive/Negative,Negative Type
1,https://github.com/pokt-network/poktroll/pull/338#discussion_r1459717523,Outsource>Implementation,POSITIVE,
2,https://github.com/daydule/odyssey-frontend/pull/29#discussion_r1479078733,Reference>Refactoring,NOT ENOUGH INFO,
3,https://github.com/altive/altfire/pull/33#discussion_r1435908762,Reference>Refactoring,POSITIVE,
4,https://github.com/marqo-ai/marqo/pull/670#discussion_r1430890944,Reference>Test,POSITIVE,
5,https://github.com/usatie/pong/pull/174#discussion_r1435958395,Outsource>Implementation,IGNORE,
6,https://github.com/CreditMutuelArkea/tock/pull/287#discussion_r1452417328,Reference>Implementation,POSITIVE,
7,https://github.com/thingsboard/thingsboard.github.io/pull/1323#discussion_r1472899291,Referenece>Documentation,POSITIVE,
8,https://github.com/Mudlet/Mudlet/pull/7117#discussion_r1477103401,Outsource>Implementation,POSITIVE,
9,https://github.com/Altinn/altinn-broker/pull/259#discussion_r1444508795,Reference>Refactoring,NOT ENOUGH INFO,
10,https://github.com/shakacode/heroku-to-control-plane/pull/114#discussion_r1404708568,Reference>Implementation,POSITIVE,
11,https://github.com/VOICEVOX/voicevox_engine/pull/904#discussion_r1433359944,Reference>Design,NEGATIVE,The solution provided is generally true but is not for this case
12,https://github.com/kubernetes/kubernetes/pull/122355#discussion_r1431275620,Reference>Design,NEGATIVE,The developer prefers another coding style/design choice
13,https://github.com/sablier-labs/v2-core/pull/734#discussion_r1427883018,Reference>Others,NONE,
14,https://github.com/shakacode/react-webpack-rails-tutorial/pull/563#discussion_r1378219428,Reference>Design,NOT ENOUGH INFO,
15,https://github.com/equinix/metal-cli/pull/405#discussion_r1425616429,Outsource>Review,NONE,
16,https://github.com/PolicyEngine/policyengine-us/pull/3258#discussion_r1421599212,Reference>Test,NONE,
17,https://github.com/PolicyEngine/policyengine-us/pull/3258#discussion_r1421605401,Reference>Others,NEGATIVE,The provided solution contains bug or is not working.
18,https://github.com/codecrafters-io/frontend/pull/1061#discussion_r1420472117,Reference>Refactoring,POSITIVE,
19,https://github.com/daydule/odyssey-frontend/pull/22#discussion_r1436248823,Reference>Implementation,NEUTRAL,
20,https://github.com/pyg-team/pytorch-frame/pull/281#discussion_r1419964583,Reference>Refactoring,POSITIVE,
21,https://github.com/nishiki-tech/nishiki-frontend/pull/184#discussion_r1453074111,Reference>Refactoring,POSITIVE,
22,https://github.com/premAI-io/prem-app/pull/344#discussion_r1360950952,Reference>Tasks,IGNORE,
23,https://github.com/PolicyEngine/policyengine-us/pull/3275#discussion_r1485727329,Reference>Others,NONE,
24,https://github.com/teller-protocol/teller-protocol-v2/pull/116#discussion_r1370528494,Outsource>Implementation,POSITIVE,
25,https://github.com/pass-culture/pass-culture-main/pull/9227#discussion_r1401782514,Reference>Refactoring,POSITIVE,
26,https://github.com/uchicago-cs/chigame/pull/265#discussion_r1402869452,Outsource>Implementation,NEGATIVE,The provided solution does not consider specific restrictions/requirements of the project.
27,https://github.com/etalab/annuaire-entreprises-site/pull/796#discussion_r1409464767,Outsource>Implementation,NEGATIVE,The provided solution contains bug or is not working.
28,https://github.com/digitalbitbox/bitbox-wallet-app/pull/2368#discussion_r1402905911,Outsource>Refactoring,NEGATIVE,The developer has more optimal solution for the issue. 
29,https://github.com/SalesforceCommerceCloud/pwa-kit/pull/1528#discussion_r1385392365,Reference>Refactoring,NONE,
30,https://github.com/airbytehq/airbyte/pull/33679#discussion_r1451591808,Reference>Implementation,POSITIVE,
31,https://github.com/pokt-network/poktroll/pull/284#discussion_r1435250028,Reference>Design,IGNORE,
32,https://github.com/deso-protocol/core/pull/875#discussion_r1477186869,Reference>Implementation,POSITIVE,
33,https://github.com/usatie/pong/pull/138#discussion_r1429054015,Reference>Design,NONE,
34,https://github.com/pokt-network/poktroll/pull/185#discussion_r1393352875,Outsource>Refactoring,NEGATIVE,The provided solution does not consider specific restrictions/requirements of the project.
